Text;Period;EstYear;Tokens;DiagMC;Initial;Final;DiagCC;Initial;Final;DiagSC;Initial;Final;AuxVRoot;Aux V;V Aux;AuxVSC;Aux V;V Aux;DiagVP;Initial;Final;VtoC;spro V;V spro;Scan;Can;NonCan;ScrSC;NoScr;Scr;NGen (Subjects);GenN;Ngen;NGen (Objects);GenN;Ngen;Rel; +te;se;Topic(PP-spro);No Top;Top;Topic(OBJ-spro);No Top;Top;Topic(PP-SUBJ);No Top;Top;Topic(OBJ-SUBJ);No Top;Top;NegCon;No NC;NC;Expl;overt;null
3.04 Aelfric Supplemental Homilies;3;1000;4186;46.2;104;121;40.4;84;124;20.8;70;267;99;477;5;67;313;154;13.9;26;161;82.1;690;150;80.8;139;33;28.8;15;37;88.2;165;22;81.2;745;173;83.9;1081;208;85.8;271;45;80.5;215;52;85.2;322;56;92.3;180;15;9.1;14;140;80;8;2
3.05 Aelfric Old Testament;3;1005;5959;47.2;120;134;43;117;155;12.1;55;399;99;311;3;57.8;223;163;14.4;16;95;66.2;909;464;90.7;195;20;20.3;13;51;92.7;293;23;90.7;1049;108;86.8;798;121;88.2;292;39;88.9;257;32;89;298;37;97.1;169;5;3;4;128;88.88888889;8;1
3.06 Aelfric Letters;3;1000;1617;47.9;23;25;38.1;24;39;12.8;14;95;99.3;286;2;64.1;141;79;13.7;10;63;79.4;216;56;85.4;35;6;36.8;7;12;69.3;52;23;89.9;401;45;76.7;440;134;88.5;116;15;87.4;83;12;86.3;151;24;83.1;69;14;9.6;7;66;57.14285714;4;3
3.07 Aelfric Temporibus Anni;3;996;384;100;5;0;100;6;0;25.9;7;20;100;36;0;65.7;23;12;0;0;10;78.2;43;12;69.2;9;4;0;0;3;86.2;25;4;85.7;66;11;70;70;30;62.5;15;9;66.7;6;3;63.6;35;20;95.5;21;1;4.2;1;23;50;1;1
3.08 Wulfstan Homilies;3;1010;1889;25.8;8;23;49;25;26;9.4;9;87;98;149;3;53.1;130;115;7.5;3;37;74.4;166;57;53.4;31;27;13.3;4;26;84.5;82;15;91.9;410;36;84.3;519;97;71.8;28;11;73.8;31;11;74.2;66;23;81.8;45;10;49.6;58;59;71.42857143;5;2
3.09 Wulfstan Institutes of Polity;3;1008;327;0;0;2;0;0;1;23.5;4;13;97.5;39;1;32.5;13;27;28.6;2;5;68.6;24;11;92.3;12;1;33.3;1;2;92.9;13;1;95.9;70;3;92.9;104;8;100;7;0;63.6;7;4;66.7;8;4;84.6;11;2;36.8;7;12;NA;0;0
3.10 Wulfstan Canons Edgar;3;1007;105;NA;0;0;NA;0;0;22.2;2;7;NA;0;0;44.4;8;10;NA;0;0;NA;0;0;NA;0;0;0;0;4;NA;0;0;96.6;28;1;90.9;30;3;NA;0;0;NA;0;0;NA;0;0;NA;0;0;63.2;12;7;NA;0;0
3.11 Wulfstan Laws of Aethelred;3;1000;190;NA;0;0;33.3;1;2;15.4;2;11;87.5;7;1;30;6;14;NA;0;0;62.5;5;3;0;0;2;25;1;3;100;8;0;97.2;70;2;91.1;51;5;NA;0;0;0;0;1;100;5;0;60;3;2;57.1;4;3;NA;0;0
3.12 Wulfstan Laws of Canute;3;1020;450;50;1;1;42.9;3;4;6;3;47;100;21;0;23.3;14;46;11.1;1;8;52.2;12;11;61.5;8;5;0;0;17;91.3;21;2;93;107;8;91.8;135;12;66.7;2;1;63.6;7;4;72.7;8;3;75;9;3;30;9;21;NA;0;0
3.13 Byrhtferth Manual;3;1011;813;10;1;9;0;0;6;13.3;2;13;100;61;0;87;47;7;6.7;1;14;77.4;106;31;4.8;1;20;66.7;2;1;90.6;29;3;85.7;84;14;81.3;87;20;69.6;16;7;60;15;10;42.6;20;27;100;19;0;0;0;6;100;8;0
